Pop,Corrected.Sample.ID,Year,MC,Region,State
both.all,Penquite,1858,SRW,Eastern,Ohio
both.all,NE05548,2014,HRW,Great Plains,Nebraska
both.all1,Penquite,1858,SRW,Eastern,Ohio
both.all1,McNair 1813,1975,SRW,Eastern,North Carolina
both.all2,Funk Seeds 7171,1975,xxW,Eastern,Illinois
both.all2,NE05548,2014,HRW,Great Plains,Nebraska
both.CA,Early Defiance,1878,SWS,Pacific,California
both.CA,RSI 220,1994,SRW,Pacific,California
both.CA_Other,Penquite,1858,SRW,Eastern,Ohio
both.CA_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.CO,Regenerated Defiance,1907,HWS,Great Plains,Colorado
both.CO,Hatcher,2004,HRW,Great Plains,Colorado
both.CO_Other,Penquite,1858,SRW,Eastern,Ohio
both.CO_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.eas,Penquite,1858,SRW,Eastern,Ohio
both.eas,InW0731,2007,SRW,Eastern,Indiana
both.eas_Other,Early Defiance,1878,SWS,Pacific,California
both.eas_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.eas1,Penquite,1858,SRW,Eastern,Ohio
both.eas1,Blueboy,1967,SRW,Eastern,North Carolina
both.eas2,Arthur,1968,SRW,Eastern,Indiana
both.eas2,InW0731,2007,SRW,Eastern,Indiana
both.gpl,Harvest Queen,1897,SRW,Great Plains,Kansas
both.gpl,NE05548,2014,HRW,Great Plains,Nebraska
both.gpl_Other,Penquite,1858,SRW,Eastern,Ohio
both.gpl_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.gpl1,Harvest Queen,1897,SRW,Great Plains,Kansas
both.gpl1,TAM 106,1979,HRW,Great Plains,Texas
both.gpl2,Dancer,1980,SRW,Great Plains,Colorado
both.gpl2,NE05548,2014,HRW,Great Plains,Nebraska
both.ID,Irwin Dicklow,1912,SWS,PNW,Idaho
both.ID,IDO644,2011,SWS,PNW,Idaho
both.ID_Other,Penquite,1858,SRW,Eastern,Ohio
both.ID_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.IN,Michigan Amber,1875,SRW,Eastern,Indiana
both.IN,InW0731,2007,SRW,Eastern,Indiana
both.IN_Other,Early Defiance,1878,SWS,Pacific,California
both.IN_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.KS,Harvest Queen,1897,SRW,Great Plains,Kansas
both.KS,Haven,1991,HRW,Great Plains,Kansas
both.KS_Other,Penquite,1858,SRW,Eastern,Ohio
both.KS_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.MN,Glyndon,1898,HRS,Northern,Minnesota
both.MN,BacUp,1996,HRS,Northern,Minnesota
both.MN_Other,Penquite,1858,SRW,Eastern,Ohio
both.MN_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.MT,Karmont,1921,HRW,Northern,Montana
both.MT,Willow Creek,2005,HRW,Northern,Montana
both.MT_Other,Penquite,1858,SRW,Eastern,Ohio
both.MT_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.ND,Haynes Bluestem,1895,HRS,Northern,North Dakota
both.ND,Jerry,2001,HRW,Northern,North Dakota
both.ND_Other,Penquite,1858,SRW,Eastern,Ohio
both.ND_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.NE,Nebraska No. 28,1916,SRW,Great Plains,Nebraska
both.NE,NE05548,2014,HRW,Great Plains,Nebraska
both.NE_Other,Penquite,1858,SRW,Eastern,Ohio
both.NE_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.nor,Haynes Bluestem,1895,HRS,Northern,North Dakota
both.nor,Alice,2006,HWW,Northern,South Dakota
both.nor_Other,Penquite,1858,SRW,Eastern,Ohio
both.nor_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.nor1,Haynes Bluestem,1895,HRS,Northern,North Dakota
both.nor1,Bronze,1974,HRW,Northern,South Dakota
both.nor2,Probred,1974,HRS,Northern,Minnesota
both.nor2,Alice,2006,HWW,Northern,South Dakota
both.NY,Martin,1880,SWW,Eastern,New York
both.NY,Richland,2001,SWW,Eastern,New York
both.NY_Other,Early Defiance,1878,SWS,Pacific,California
both.NY_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.OR,Wilbur,1919,SWS,PNW,Oregon
both.OR,Rohde,1993,SWW,PNW,Oregon
both.OR_Other,Penquite,1858,SRW,Eastern,Ohio
both.OR_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.pac,Early Defiance,1878,SWS,Pacific,California
both.pac,Admire,1994,HRS,Pacific,Arizona
both.pac_Other,Penquite,1858,SRW,Eastern,Ohio
both.pac_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.pac1,Early Defiance,1878,SWS,Pacific,California
both.pac1,World Seeds 1809,1971,HRS,Pacific,California
both.pac2,Anza,1971,HRS,Pacific,California
both.pac2,Admire,1994,HRS,Pacific,Arizona
both.pnw,Hybrid 143,1907,SWS,PNW,Washington
both.pnw,ARS-Selbu,2013,SWW,PNW,Washington
both.pnw_Other,Penquite,1858,SRW,Eastern,Ohio
both.pnw_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.pnw1,Hybrid 143,1907,SWS,PNW,Washington
both.pnw1,Barbee,1976,SWW,PNW,Washington
both.pnw2,Faro,1976,SWW,PNW,Oregon
both.pnw2,ARS-Selbu,2013,SWW,PNW,Washington
both.SC,Redhart,1921,SRW,Eastern,South Carolina
both.SC,Clemson 201,1994,SRW,Eastern,South Carolina
both.SC_Other,Early Defiance,1878,SWS,Pacific,California
both.SC_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.TX,White Mediterranean,1930,SWW,Great Plains,Texas
both.TX,TAM 300,1993,HRW,Great Plains,Texas
both.TX_Other,Penquite,1858,SRW,Eastern,Ohio
both.TX_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.WA,Hybrid 143,1907,SWS,PNW,Washington
both.WA,ARS-Selbu,2013,SWW,PNW,Washington
both.WA_Other,Penquite,1858,SRW,Eastern,Ohio
both.WA_Other,NE05548,2014,HRW,Great Plains,Nebraska
spr.all,Early Defiance,1878,SWS,Pacific,California
spr.all,IDO644,2011,SWS,PNW,Idaho
spr.CA,Early Defiance,1878,SWS,Pacific,California
spr.CA,Lynn,1991,HWS,Pacific,California
spr.CA_Other,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.CA_Other,IDO644,2011,SWS,PNW,Idaho
spr.gpl,Regenerated Defiance,1907,HWS,Great Plains,Colorado
spr.gpl,Sylvan,1994,HRS,Great Plains,Colorado
spr.gpl_Other,Early Defiance,1878,SWS,Pacific,California
spr.gpl_Other,IDO644,2011,SWS,PNW,Idaho
spr.HRS,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.HRS,UI Winchester,2009,HRS,PNW,Idaho
spr.HRS_Other,Early Defiance,1878,SWS,Pacific,California
spr.HRS_Other,IDO644,2011,SWS,PNW,Idaho
spr.HRS1,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.HRS1,Eureka,1978,HRS,Northern,South Dakota
spr.HRS2,Angus,1978,HRS,Northern,Minnesota
spr.HRS2,UI Winchester,2009,HRS,PNW,Idaho
spr.ID,Irwin Dicklow,1912,SWS,PNW,Idaho
spr.ID,IDO644,2011,SWS,PNW,Idaho
spr.ID_Other,Early Defiance,1878,SWS,Pacific,California
spr.ID_Other,BacUp,1996,HRS,Northern,Minnesota
spr.MN,Glyndon,1898,HRS,Northern,Minnesota
spr.MN,BacUp,1996,HRS,Northern,Minnesota
spr.MN_Other,Early Defiance,1878,SWS,Pacific,California
spr.MN_Other,IDO644,2011,SWS,PNW,Idaho
spr.ND,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.ND,Grandin,1989,HRS,Northern,North Dakota
spr.ND_Other,Early Defiance,1878,SWS,Pacific,California
spr.ND_Other,IDO644,2011,SWS,PNW,Idaho
spr.nor,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.nor,BacUp,1996,HRS,Northern,Minnesota
spr.nor_Other,Early Defiance,1878,SWS,Pacific,California
spr.nor_Other,IDO644,2011,SWS,PNW,Idaho
spr.nor1,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.nor1,Ellar,1974,HRS,Northern,North Dakota
spr.nor2,Probred,1974,HRS,Northern,Minnesota
spr.nor2,BacUp,1996,HRS,Northern,Minnesota
spr.pac,Early Defiance,1878,SWS,Pacific,California
spr.pac,Admire,1994,HRS,Pacific,Arizona
spr.pac_Other,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.pac_Other,IDO644,2011,SWS,PNW,Idaho
spr.pac1,Early Defiance,1878,SWS,Pacific,California
spr.pac1,Inia 66R,1969,HRS,Pacific,California
spr.pac2,Anza,1971,HRS,Pacific,California
spr.pac2,Admire,1994,HRS,Pacific,Arizona
spr.pnw,Hybrid 143,1907,SWS,PNW,Washington
spr.pnw,IDO644,2011,SWS,PNW,Idaho
spr.pnw_Other,Early Defiance,1878,SWS,Pacific,California
spr.pnw_Other,BacUp,1996,HRS,Northern,Minnesota
spr.pnw1,Hybrid 143,1907,SWS,PNW,Washington
spr.pnw1,Fieldwin,1977,SWS,PNW,Idaho
spr.pnw2,Dirkwin,1978,SWS,PNW,Idaho
spr.pnw2,IDO644,2011,SWS,PNW,Idaho
spr.spr1,Early Defiance,1878,SWS,Pacific,California
spr.spr1,Profit 75,1975,HRS,Pacific,California
spr.spr2,Kitt,1975,HRS,Northern,Minnesota
spr.spr2,IDO644,2011,SWS,PNW,Idaho
spr.SWS,Early Defiance,1878,SWS,Pacific,California
spr.SWS,IDO644,2011,SWS,PNW,Idaho
spr.SWS_Other,Haynes Bluestem,1895,HRS,Northern,North Dakota
spr.SWS_Other,UI Winchester,2009,HRS,PNW,Idaho
spr.SWS1,Early Defiance,1878,SWS,Pacific,California
spr.SWS1,Lemhi 62,1962,SWS,PNW,Idaho
spr.SWS2,Idaed 59,1962,SWS,PNW,Idaho
spr.SWS2,IDO644,2011,SWS,PNW,Idaho
spr.WA,Hybrid 143,1907,SWS,PNW,Washington
spr.WA,Louise,2005,SWS,PNW,Washington
spr.WA_Other,Early Defiance,1878,SWS,Pacific,California
spr.WA_Other,BacUp,1996,HRS,Northern,Minnesota
win.all,Penquite,1858,SRW,Eastern,Ohio
win.all,NE05548,2014,HRW,Great Plains,Nebraska
win.CO,Blount's Lambrigg,1916,xxW,Great Plains,Colorado
win.CO,Hatcher,2004,HRW,Great Plains,Colorado
win.CO_Other,Penquite,1858,SRW,Eastern,Ohio
win.CO_Other,ARS-Selbu,2013,SWW,PNW,Washington
win.eas,Penquite,1858,SRW,Eastern,Ohio
win.eas,InW0731,2007,SRW,Eastern,Indiana
win.eas_Other,Harvest Queen,1897,SRW,Great Plains,Kansas
win.eas_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.eas1,Penquite,1858,SRW,Eastern,Ohio
win.eas1,Kenosha,1968,SRW,Eastern,Wisconsin
win.eas2,Arthur,1968,SRW,Eastern,Indiana
win.eas2,InW0731,2007,SRW,Eastern,Indiana
win.gpl,Harvest Queen,1897,SRW,Great Plains,Kansas
win.gpl,NE05548,2014,HRW,Great Plains,Nebraska
win.gpl_Other,Penquite,1858,SRW,Eastern,Ohio
win.gpl_Other,ARS-Selbu,2013,SWW,PNW,Washington
win.gpl1,Harvest Queen,1897,SRW,Great Plains,Kansas
win.gpl1,Capitan,1978,HRW,Great Plains,New Mexico
win.gpl2,Bennett,1978,HRW,Great Plains,Nebraska
win.gpl2,NE05548,2014,HRW,Great Plains,Nebraska
win.HRW,Fulhard,1907,HRW,Great Plains,Kansas
win.HRW,NE05548,2014,HRW,Great Plains,Nebraska
win.HRW_Other,Penquite,1858,SRW,Eastern,Ohio
win.HRW_Other,ARS-Selbu,2013,SWW,PNW,Washington
win.HRW1,Fulhard,1907,HRW,Great Plains,Kansas
win.HRW1,Eklund,1976,HRW,Northern,Minnesota
win.HRW2,Maverick,1977,HRW,Great Plains,Texas
win.HRW2,NE05548,2014,HRW,Great Plains,Nebraska
win.ID,Mosida,1924,HRW,PNW,Idaho
win.ID,LHS,2011,HWW,PNW,Idaho
win.ID_Other,Penquite,1858,SRW,Eastern,Ohio
win.ID_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.IN,Michigan Amber,1875,SRW,Eastern,Indiana
win.IN,InW0731,2007,SRW,Eastern,Indiana
win.IN_Other,Harvest Queen,1897,SRW,Great Plains,Kansas
win.IN_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.KS,Harvest Queen,1897,SRW,Great Plains,Kansas
win.KS,Haven,1991,HRW,Great Plains,Kansas
win.KS_Other,Penquite,1858,SRW,Eastern,Ohio
win.KS_Other,ARS-Selbu,2013,SWW,PNW,Washington
win.NE,Nebraska No. 28,1916,SRW,Great Plains,Nebraska
win.NE,NE05548,2014,HRW,Great Plains,Nebraska
win.NE_Other,Penquite,1858,SRW,Eastern,Ohio
win.NE_Other,ARS-Selbu,2013,SWW,PNW,Washington
win.nor,Minturki,1919,HRW,Northern,Minnesota
win.nor,Alice,2006,HWW,Northern,South Dakota
win.nor_Other,Penquite,1858,SRW,Eastern,Ohio
win.nor_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.NY,Martin,1880,SWW,Eastern,New York
win.NY,Richland,2001,SWW,Eastern,New York
win.NY_Other,Harvest Queen,1897,SRW,Great Plains,Kansas
win.NY_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.OR,Oro,1927,HRW,PNW,Oregon
win.OR,Rohde,1993,SWW,PNW,Oregon
win.OR_Other,Penquite,1858,SRW,Eastern,Ohio
win.OR_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.pnw,Triplet,1918,SRW,PNW,Washington
win.pnw,ARS-Selbu,2013,SWW,PNW,Washington
win.pnw_Other,Penquite,1858,SRW,Eastern,Ohio
win.pnw_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.pnw1,Triplet,1918,SRW,PNW,Washington
win.pnw1,Hansel,1974,HRW,PNW,Utah
win.pnw2,Barbee,1976,SWW,PNW,Washington
win.pnw2,ARS-Selbu,2013,SWW,PNW,Washington
win.SC,Redhart,1921,SRW,Eastern,South Carolina
win.SC,Clemson 201,1994,SRW,Eastern,South Carolina
win.SC_Other,Harvest Queen,1897,SRW,Great Plains,Kansas
win.SC_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.SRW,Penquite,1858,SRW,Eastern,Ohio
win.SRW,InW0731,2007,SRW,Eastern,Indiana
win.SRW_Other,Martin,1880,SWW,Eastern,New York
win.SRW_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.SRW1,Penquite,1858,SRW,Eastern,Ohio
win.SRW1,Kenosha,1968,SRW,Eastern,Wisconsin
win.SRW2,Arthur,1968,SRW,Eastern,Indiana
win.SRW2,InW0731,2007,SRW,Eastern,Indiana
win.SWW,Martin,1880,SWW,Eastern,New York
win.SWW,ARS-Selbu,2013,SWW,PNW,Washington
win.SWW_Other,Penquite,1858,SRW,Eastern,Ohio
win.SWW_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.SWW1,Martin,1880,SWW,Eastern,New York
win.SWW1,Rew,1974,SWW,PNW,Oregon
win.SWW2,Peck,1974,SWW,PNW,Idaho
win.SWW2,ARS-Selbu,2013,SWW,PNW,Washington
win.WA,Triplet,1918,SRW,PNW,Washington
win.WA,ARS-Selbu,2013,SWW,PNW,Washington
win.WA_Other,Penquite,1858,SRW,Eastern,Ohio
win.WA_Other,NE05548,2014,HRW,Great Plains,Nebraska
win.win1,Penquite,1858,SRW,Eastern,Ohio
win.win1,Bronze,1974,HRW,Northern,South Dakota
win.win2,III,1974,HRW,Great Plains,Kansas
win.win2,NE05548,2014,HRW,Great Plains,Nebraska
